P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
2556,0.02,9.48,151843,1.01,524.26,20.53,98866,67,7.5,9.21,11.39,13.5166666666667,15.2566666666667,191.83
0,0.0,0.62,67639,0.45,234.43,20.38,98866,68,7.49333333333333,9.21,11.3866666666667,13.5066666666667,15.2466666666667,191.786666666667
86608,0.58,299.81,332245,2.21,1145.71,20.31,98869,68,7.49,9.20666666666667,11.38,13.4933333333333,15.2266666666667,191.736666666667
0,0.0,0.62,30289,0.2,105.48,20.27,98868,68,7.49,9.2,11.37,13.48,15.2066666666667,191.703333333333
153937,1.03,531.46,285021,1.9,982.52,20.2,98868,68,7.49,9.2,11.36,13.4666666666667,15.1933333333333,191.676666666667
0,0.0,0.62,349495,2.33,1205.49,20.1,98871,69,7.49,9.19333333333333,11.36,13.4566666666667,15.18,191.653333333333
0,0.0,0.62,24115,0.16,84.13,19.92,98870,69,7.49,9.19,11.36,13.4566666666667,15.1766666666667,191.613333333333
178599,1.19,616.23,305667,2.04,1053.79,19.83,98868,70,7.48,9.19,11.36,13.45,15.1666666666667,191.563333333333
0,0.0,0.62,77055,0.51,266.89,19.69,98867,71,7.48,9.18666666666667,11.35,13.4366666666667,15.15,191.503333333333
0,0.0,0.62,16822,0.11,58.89,19.66,98867,71,7.48,9.18,11.34,13.4233333333333,15.1333333333333,191.473333333333
0,0.0,0.62,0,0.0,0.62,19.54,98866,71,7.48,9.18,11.34,13.4133333333333,15.12,191.443333333333
112456,0.75,388.8,299310,2.0,1031.84,19.53,98869,71,7.48,9.18,11.3366666666667,13.4066666666667,15.1066666666667,191.426666666667
0,0.0,0.62,130212,0.87,449.88,19.48,98866,72,7.48,9.18,11.33,13.4,15.0966666666667,191.41
268165,1.79,924.4,679473,4.53,2380.4,19.43,98866,72,7.48,9.17333333333333,11.3266666666667,13.3866666666667,15.0766666666667,191.38
0,0.0,0.62,0,0.0,0.62,19.33,98868,72,7.48,9.17,11.3166666666667,13.3733333333333,15.0633333333333,191.35
0,0.0,0.62,119459,0.8,412.89,19.22,98868,73,7.48,9.17,11.32,13.37,15.0566666666667,191.333333333333
